location_type,name,state_name,district_name,sub_district_name,state_lgd_code,district_lgd_code,sub_district_lgd_code,village_lgd_code,source
district,Bareilly,Uttar Pradesh,Bareilly,,9,130,,,lgd
district,Barwani,Madhya Pradesh,Barwani,,23,393,,,lgd
district,Bathinda,Punjab,Bathinda,,3,28,,,lgd
district,Begusarai,Bihar,Begusarai,,10,191,,,lgd
district,Belagavi,Karnataka,Belagavi,,29,527,,,lgd
district,Bhagalpur,Bihar,Bhagalpur,,10,192,,,lgd
district,Bilaspur,Chhattisgarh,Bilaspur,,22,375,,,lgd
district,Bishnupur,Manipur,Bishnupur,,14,252,,,lgd
district,Biswanath,Assam,Biswanath,,18,705,,,lgd
district,Budaun,Uttar Pradesh,Budaun,,9,133,,,lgd
district,Bulandshahr,Uttar Pradesh,Bulandshahr,,9,134,,,lgd
district,Bundi,Rajasthan,Bundi,,8,94,,,lgd
district,Cachar,Assam,Cachar,,18,282,,,lgd
district,Chamarajanagara,Karnataka,Chamarajanagara,,29,531,,,lgd
district,Champawat,Uttarakhand,Champawat,,5,48,,,lgd
district,Charaideo,Assam,Charaideo,,18,708,,,lgd
district,Chennai,Tamil Nadu,Chennai,,33,568,,,lgd
district,Chirang,Assam,Chirang,,18,612,,,lgd
district,Coimbatore,Tamil Nadu,Coimbatore,,33,569,,,lgd
district,Datia,Madhya Pradesh,Datia,,23,401,,,lgd
district,Dhanbad,Jharkhand,Dhanbad,,20,325,,,lgd
district,Dharmapuri,Tamil Nadu,Dharmapuri,,33,571,,,lgd
district,Dharwad,Karnataka,Dharwad,,29,536,,,lgd
district,Dholpur,Rajasthan,Dholpur,,8,98,,,lgd
district,Dibrugarh,Assam,Dibrugarh,,18,286,,,lgd
district,Durg,Chhattisgarh,Durg,,22,378,,,lgd
district,East Garo Hills,Meghalaya,East Garo Hills,,17,273,,,lgd
district,Faridkot,Punjab,Faridkot,,3,29,,,lgd
district,Fatehgarh Sahib,Punjab,Fatehgarh Sahib,,3,30,,,lgd
district,Ganjam,Odisha,Ganjam,,21,354,,,lgd
district,Gautam Buddha Nagar,Uttar Pradesh,Gautam Buddha Nagar,,9,144,,,lgd
district,Ghazipur,Uttar Pradesh,Ghazipur,,9,146,,,lgd
district,Godda,Jharkhand,Godda,,20,330,,,lgd
district,Gurugram,Haryana,Gurugram,,6,62,,,lgd
district,Hapur,Uttar Pradesh,Hapur,,9,661,,,lgd
district,Hathras,Uttar Pradesh,Hathras,,9,163,,,lgd
district,Haveri,Karnataka,Haveri,,29,540,,,lgd
district,Hisar,Haryana,Hisar,,6,63,,,lgd
district,Hnahthial,Mizoram,Hnahthial,,15,726,,,lgd
district,Hyderabad,Telangana,Hyderabad,,36,507,,,lgd
district,Jalaun,Uttar Pradesh,Jalaun,,9,151,,,lgd
district,Jalna,Maharashtra,Jalna,,27,479,,,lgd
district,Jamnagar,Gujarat,Jamnagar,,24,447,,,lgd
district,Jashpur,Chhattisgarh,Jashpur,,22,380,,,lgd
district,Jhabua,Madhya Pradesh,Jhabua,,23,412,,,lgd
district,Jind,Haryana,Jind,,6,65,,,lgd
district,Jiribam,Manipur,Jiribam,,14,713,,,lgd
district,Jodhpur,Rajasthan,Jodhpur,,8,107,,,lgd
district,Jodhpur (Gramin),Rajasthan,Jodhpur (Gramin),,8,778,,,lgd
district,Jorhat,Assam,Jorhat,,18,290,,,lgd
district,Kachchh,Gujarat,Kachchh,,24,449,,,lgd
district,Kakinada,Andhra Pradesh,Kakinada,,28,746,,,lgd
district,Kalahandi,Odisha,Kalahandi,,21,358,,,lgd
district,Kallakurichi,Tamil Nadu,Kallakurichi,,33,729,,,lgd
district,Kamareddy,Telangana,Kamareddy,,36,685,,,lgd
district,Kamrup Metro,Assam,Kamrup Metro,,18,618,,,lgd
district,Kannur,Kerala,Kannur,,32,557,,,lgd
district,Kanpur Nagar,Uttar Pradesh,Kanpur Nagar,,9,157,,,lgd
district,Kapurthala,Punjab,Kapurthala,,3,35,,,lgd
district,Kargil,Ladakh,Kargil,,37,6,,,lgd
district,Karur,Tamil Nadu,Karur,,33,576,,,lgd
district,Kathua,Jammu And Kashmir,Kathua,,1,7,,,lgd
district,Khairthal-Tijara,Rajasthan,Khairthal-Tijara,,8,770,,,lgd
district,Khandwa (East Nimar),Madhya Pradesh,Khandwa (East Nimar),,23,405,,,lgd
district,Kolar,Karnataka,Kolar,,29,542,,,lgd
district,Kumuram Bheem Asifabad,Telangana,Kumuram Bheem Asifabad,,36,699,,,lgd
district,Lawngtlai,Mizoram,Lawngtlai,,15,264,,,lgd
district,Lohardaga,Jharkhand,Lohardaga,,20,336,,,lgd
district,Lower Dibang Valley,Arunachal Pradesh,Lower Dibang Valley,,12,235,,,lgd
district,Lower Siang,Arunachal Pradesh,Lower Siang,,12,719,,,lgd
district,Mahoba,Uttar Pradesh,Mahoba,,9,165,,,lgd
district,Mandla,Madhya Pradesh,Mandla,,23,415,,,lgd
district,Mayiladuthurai,Tamil Nadu,Mayiladuthurai,,33,735,,,lgd
district,Medak,Telangana,Medak,,36,513,,,lgd
district,Mirzapur,Uttar Pradesh,Mirzapur,,9,170,,,lgd
district,Mokokchung,Nagaland,Mokokchung,,13,246,,,lgd
district,Moradabad,Uttar Pradesh,Moradabad,,9,171,,,lgd
district,Morbi,Gujarat,Morbi,,24,673,,,lgd
district,Mumbai,Maharashtra,Mumbai,,27,482,,,lgd
district,Mumbai Suburban,Maharashtra,Mumbai Suburban,,27,483,,,lgd
district,Nagarkurnool,Telangana,Nagarkurnool,,36,694,,,lgd
district,Nalanda,Bihar,Nalanda,,10,209,,,lgd
district,Nalgonda,Telangana,Nalgonda,,36,514,,,lgd
district,Nawada,Bihar,Nawada,,10,210,,,lgd
district,North,Delhi,North,,7,80,,,lgd
district,North West,Delhi,North West,,7,82,,,lgd
district,Papum Pare,Arunachal Pradesh,Papum Pare,,12,237,,,lgd
district,Pathanamthitta,Kerala,Pathanamthitta,,32,564,,,lgd
district,Porbandar,Gujarat,Porbandar,,24,456,,,lgd
district,Prayagraj,Uttar Pradesh,Prayagraj,,9,120,,,lgd
district,Rae Bareli,Uttar Pradesh,Rae Bareli,,9,175,,,lgd
district,Raichur,Karnataka,Raichur,,29,546,,,lgd
district,Rajanna Sircilla,Telangana,Rajanna Sircilla,,36,683,,,lgd
district,Ramban,Jammu And Kashmir,Ramban,,1,621,,,lgd
district,Ratlam,Madhya Pradesh,Ratlam,,23,423,,,lgd
district,Rewari,Haryana,Rewari,,6,72,,,lgd
district,Ri Bhoi,Meghalaya,Ri Bhoi,,17,276,,,lgd
district,Rohtak,Haryana,Rohtak,,6,73,,,lgd
district,Samba,Jammu And Kashmir,Samba,,1,624,,,lgd
district,Sambalpur,Odisha,Sambalpur,,21,371,,,lgd
district,Sangli,Maharashtra,Sangli,,27,493,,,lgd
