state_code,state_name_english,state_census2011_code,district_code,district_name_english,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_census2011_code,last_updated
9,Uttar Pradesh,9,176,Rampur,136,726,Rampur,726,07-10-2024
9,Uttar Pradesh,9,176,Rampur,136,724,Tanda,724,07-10-2024
9,Uttar Pradesh,9,177,Saharanpur,132,701,Behat,701,07-10-2024
9,Uttar Pradesh,9,177,Saharanpur,132,705,Rampur Maniharan,705,07-10-2024
9,Uttar Pradesh,9,177,Saharanpur,132,702,Saharanpur,702,07-10-2024
9,Uttar Pradesh,9,177,Saharanpur,132,704,Deoband,704,07-10-2024
9,Uttar Pradesh,9,177,Saharanpur,132,703,Nakur,703,07-10-2024
9,Uttar Pradesh,9,659,Sambhal,0,721,Sambhal,721,07-10-2024
9,Uttar Pradesh,9,659,Sambhal,0,722,Chandausi,722,07-10-2024
9,Uttar Pradesh,9,659,Sambhal,0,778,Gunnaur,778,07-10-2024
9,Uttar Pradesh,9,178,Sant Kabir Nagar,186,943,Ghanghata,943,07-10-2024
9,Uttar Pradesh,9,178,Sant Kabir Nagar,186,941,Mehdawal,941,07-10-2024
9,Uttar Pradesh,9,178,Sant Kabir Nagar,186,942,Khalilabad,942,07-10-2024
9,Uttar Pradesh,9,180,Shahjahanpur,152,794,Tilhar,794,07-10-2024
9,Uttar Pradesh,9,180,Shahjahanpur,152,796,Jalalabad,796,07-10-2024
9,Uttar Pradesh,9,180,Shahjahanpur,152,795,Shahjahanpur,795,07-10-2024
9,Uttar Pradesh,9,180,Shahjahanpur,152,6882,Kalan,0,07-10-2024
9,Uttar Pradesh,9,180,Shahjahanpur,152,793,Powayan,793,07-10-2024
9,Uttar Pradesh,9,660,Shamli,0,706,Kairana,706,07-10-2024
9,Uttar Pradesh,9,660,Shamli,0,6159,Un,0,07-10-2024
9,Uttar Pradesh,9,660,Shamli,0,707,Shamli,707,07-10-2024
9,Uttar Pradesh,9,181,Shrawasti,181,924,Ikauna,924,07-10-2024
9,Uttar Pradesh,9,181,Shrawasti,181,6164,Jamunaha,0,07-10-2024
9,Uttar Pradesh,9,181,Shrawasti,181,923,Bhinga,923,07-10-2024
9,Uttar Pradesh,9,182,Siddharthnagar,184,933,Naugarh,933,07-10-2024
9,Uttar Pradesh,9,182,Siddharthnagar,184,934,Bansi,934,07-10-2024
9,Uttar Pradesh,9,182,Siddharthnagar,184,932,Shohratgarh,932,07-10-2024
9,Uttar Pradesh,9,182,Siddharthnagar,184,936,Domariyaganj,936,07-10-2024
9,Uttar Pradesh,9,182,Siddharthnagar,184,935,Itwa,935,07-10-2024
9,Uttar Pradesh,9,183,Sitapur,154,805,Laharpur,805,07-10-2024
