stateCode,stateNameEnglish,stateNameLocal,stateCensus2011Code,localBodyCode,localBodyNameEnglish,localBodyNameLocal,localBodyCensus2011Code,localBodyTypeCode,localBodyTypeName,entityCode,entityName,entityType,coverageType,date_updated
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248873,Saharanpur,Saharanpur,800630,4,Municipal Corporations,702,Saharanpur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,297802,Shahjahanpur,Shahjahanpur,,4,Municipal Corporations,134413,Ahmadpur Niyazpur,Village,Full,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249531,Varanasi,Varanasi,801235,4,Municipal Corporations,209572,Ahmadpur,Village,Full,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249066,Achhnera,Achhnera,800806,5,Municipality,767,Kiraoli,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248917,Afzalgarh,Afzalgarh,800670,5,Municipality,715,Dhampur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249545,Ahraura,Ahraura,801247,5,Municipality,1003,Chunar,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249400,Akbarpur,Akbarpur,801116,5,Municipality,910,Akbarpur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249095,Aliganj,Aliganj,801259,5,Municipality,1007,Aliganj,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248950,Amroha,Amroha,800702,5,Municipality,117933,Aharoi,Village,Full,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249011,Anupshahr,Anupshahr,800755,5,Municipality,941998,Anoopshahar Bangar,Village,Full,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249145,Aonla,Aonla,800863,5,Municipality,130,Bareilly,District,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249339,Atarra,Atarra,801056,5,Municipality,873,Atarra,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249022,Atrauli,Atrauli,800765,5,Municipality,754,Atrauli,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249273,Auraiya,Auraiya,800992,5,Municipality,842,Auraiya,Subistrict,Partial,2024-10-14 08:43:46
